Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
1110007A13Rik	293.4217603	-0.068995518	0.067049297	-1.029026723	0.303467117	0.710657145
1110007C09Rik	240.9427013	0.17268997	0.089339611	1.932960844	0.053241022	0.349340996
1110008E08Rik	0.291334587	0.424992168	1.966201458	0.216148842	0.828871729	NA
1110008F13Rik	561.024548	-0.077973967	0.056990931	-1.368182028	0.171255106	0.576514818
1110008J03Rik	79.62382093	0.192263928	0.118595057	1.621179948	0.104979052	0.474585384
1110008L16Rik	28.05229538	-0.416866159	0.21585827	-1.931203096	0.053457941	0.35011834
1110008P14Rik	288.6716547	-0.090712829	0.083210754	-1.090157522	0.275643761	0.686646827
1110012D08Rik	46.97540408	0.306371275	0.14869091	2.060457324	0.039354842	0.29819129
1110012J17Rik	7.269134519	-0.157687036	0.396774234	-0.39742257	0.691055874	NA
1110012L19Rik	65.97072527	0.026763619	0.151399858	0.1767744	0.859685599	0.962416515
1110014N23Rik	275.8054525	-0.053569006	0.065017172	-0.823920882	0.409984514	0.774181377
1110017D15Rik	0.719114835	-1.393081401	1.265414871	-1.10088907	0.27094494	NA
1110017F19Rik	0.964105822	0.864982058	1.372086149	0.630413811	0.528423877	NA
1110018G07Rik	661.0005973	-0.096001963	0.063611361	-1.509195242	0.131248896	0.527550575
1110018J18Rik	128.575411	0.036657861	0.108717337	0.337185051	0.735977406	0.919638234
1110020A21Rik	24.02690715	0.338783714	0.229300923	1.477463366	0.139551471	NA
1110020C17Rik	2.634198185	0.86586551	0.662869931	1.306237421	0.191471831	NA
1110020G09Rik	0.684373792	0.868704719	1.402759067	0.619282912	0.53573	NA
1110021J02Rik	299.3070489	-0.002990187	0.074414727	-0.040182727	0.967947448	0.991839352
1110021L09Rik	192.4363648	0.030223314	0.091338555	0.330893276	0.740725101	0.921319772
1110028C15Rik	5.454313858	0.724193005	0.489728781	1.478763417	0.139203557	NA
1110028F11Rik	0.35321798	-0.662862518	1.727675023	-0.38367315	0.701220716	NA
1110031I02Rik	86.82541505	0.024074113	0.119754385	0.201029075	0.84067584	0.955467021
1110032A03Rik	175.3559652	0.006614067	0.088961434	0.074347579	0.940733819	0.985714316
1110032A04Rik	0.057930281	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1110032A13Rik	87.10544824	-0.080926217	0.124986175	-0.647481347	0.517320463	0.833069974
1110032F04Rik	10.27817659	0.287634033	0.348628757	0.825043911	0.409346661	NA
1110034A24Rik	99.64744909	-0.01718144	0.109392087	-0.157062915	0.875195264	0.966510534
1110034B05Rik	0.806335818	0.917018368	1.366256917	0.671190284	0.502099317	NA
1110034G24Rik	83.2554509	0.152346707	0.129716094	1.174462639	0.240209768	0.656286304
1110035M17Rik	6.930830154	0.108149083	0.400070942	0.270324763	0.786910416	NA
1110036O03Rik	64.94535572	-0.080240801	0.124444809	-0.644790262	0.519063113	0.833836924
1110037F02Rik	616.8129407	-0.02746223	0.055581082	-0.494093129	0.62124041	0.881965654
1110038B12Rik	2.410045258	0.315620872	0.705913398	0.447109905	0.654795708	NA
1110038D17Rik	559.5329736	0.196306528	0.056424089	3.479126231	0.000503052	0.01965955
1110038F14Rik	123.7608194	0.046795034	0.089511593	0.522781827	0.601126088	0.872522465
1110049F12Rik	286.5953491	-0.023563777	0.065034578	-0.362326892	0.717107765	0.913030963
1110051M20Rik	431.711862	-0.106894092	0.071407788	-1.496952848	0.134405527	0.5303153
1110054M08Rik	10.71861127	0.061478673	0.340841225	0.180373348	0.856859476	NA
1110054O05Rik	155.9503841	-0.01661002	0.093469807	-0.17770466	0.858954925	0.962069572
1110057K04Rik	3.352089239	0.354646214	0.57843844	0.613109692	0.539803812	NA
1110058L19Rik	43.61893896	0.200656681	0.155206958	1.29283303	0.196068814	0.609515252
1110059E24Rik	127.7953483	0.074462638	0.118961053	0.625941314	0.531353435	0.838584305
1110059G10Rik	82.90015528	-0.054263922	0.134518894	-0.403392568	0.686659454	0.905316951
1110059M19Rik	0	NA	NA	NA	NA	NA
1110065P20Rik	94.73681408	0.22154109	0.10983245	2.017082298	0.043686926	0.315783069
1110067D22Rik	2917.816249	0.091214184	0.04006193	2.276829522	0.022796408	0.224102426
1190002A17Rik	2.934838484	0.511786301	0.628682943	0.814061056	0.415609974	NA
1190002H23Rik	23.033081	0.525195148	0.226207599	2.321739633	0.020246959	NA
1190002N15Rik	455.3797379	0.033613593	0.055145269	0.609546273	0.542162411	0.845168142
1190003J15Rik	1.833063146	-0.681547336	0.995373191	-0.684715383	0.49352354	NA
1190005F20Rik	331.5969465	0.128903093	0.070532718	1.827564505	0.067614937	0.391305326
1190005I06Rik	209.2353934	-0.137777981	0.09273193	-1.485766352	0.137340933	0.535408052
1190007F08Rik	0.428512378	-1.613574354	1.639746424	-0.984038953	0.325096361	NA
1190007I07Rik	2.78949184	-0.024300557	0.585825926	-0.041480849	0.96691256	NA
12-Sep	0	NA	NA	NA	NA	NA
1200009I06Rik	16.00577147	-0.054592287	0.300543896	-0.18164497	0.855861355	NA
1200009O22Rik	215.6536443	-0.158189157	0.081777791	-1.934377975	0.053066672	0.348625817
1200011I18Rik	790.0458649	-0.056083816	0.04519274	-1.240991734	0.214608803	0.632328449
1200011M11Rik	210.2027004	-0.035051501	0.071109354	-0.492923905	0.622066356	0.882191505
1200014J11Rik	657.213504	0.016945731	0.049727211	0.340773801	0.733273875	0.918658874
1200016B10Rik	295.1970385	0.239538839	0.066717953	3.590320548	0.000330272	0.014560608
1300001I01Rik	474.0449947	-0.128161634	0.054325089	-2.359161055	0.018316305	0.203683964
1300002E11Rik	146.3505652	-0.040288118	0.101449098	-0.397126424	0.691274236	0.906784874
1300002K09Rik	0.572446422	0.55647078	1.627269565	0.341965948	0.732376518	NA
1300003B13Rik	337.4490922	0.144706381	0.075005861	1.929267646	0.053697644	0.350397655
1300010F03Rik	396.0036382	0.065284827	0.0673868	0.968807342	0.332641323	0.735053857
1300014I06Rik	7.165024818	-0.42370897	0.403213167	-1.050831187	0.29333613	NA
1300015D01Rik	0	NA	NA	NA	NA	NA
1300017J02Rik	0.28711031	1.080656405	2.203645284	0.490394898	0.623854486	NA
1300018I17Rik	242.7758952	-0.221981787	0.072266793	-3.07169834	0.002128447	0.055386346
1300018J18Rik	174.9406221	-0.012757873	0.084633086	-0.150743327	0.880178194	0.968484422
14-Sep	0.118757636	0.064312919	3.06038251	0.021014667	0.983233956	NA
15-Sep	1119.124709	-0.011405452	0.055263629	-0.206382612	0.836492052	0.954433734
1500001M20Rik	73.59420995	-0.193606846	0.130700862	-1.481297394	0.138527343	0.536655127
1500002F19Rik	3.472150184	0.858501865	0.737921263	1.163405783	0.244664904	NA
1500002O20Rik	239.3033706	-0.059966812	0.073142334	-0.81986462	0.412293288	0.775565748
1500003O03Rik	308.2408433	0.057627654	0.076334608	0.754934829	0.450288087	0.797111706
1500004A13Rik	130.6192251	0.368513591	0.08898661	4.141225176	3.45E-05	0.002676788
1500009C09Rik	186.4903664	0.126580382	0.103229845	1.226199482	0.220123616	0.635760384
1500009L16Rik	15.06272352	-0.105290504	0.262280114	-0.401442955	0.688094029	NA
1500010J02Rik	0	NA	NA	NA	NA	NA
1500011B03Rik	300.4036576	-0.143008407	0.069406199	-2.060455833	0.039354984	0.29819129
1500011H22Rik	231.4866041	0.062789175	0.077488422	0.810303959	0.4177655	0.777989509
1500011K16Rik	252.5252255	-0.028903735	0.070649484	-0.409114586	0.682455572	0.902967682
1500012F01Rik	123.9706666	0.321646842	0.122595444	2.623644336	0.008699458	0.132989269
1500015A07Rik	63.68195031	-0.201142508	0.162056926	-1.241184273	0.214537683	0.63229352
1500015O10Rik	6.554762517	-1.370054907	0.635996106	-2.154187574	0.031225465	NA
1500016L03Rik	15.93210935	0.457773812	0.296412198	1.544382502	0.122495696	NA
1500017E21Rik	7.591714776	0.084568319	0.376766149	0.22445838	0.822400649	NA
1500026H17Rik	17.6474164	0.092664077	0.254377319	0.364278065	0.715650378	NA
1500031L02Rik	267.2112787	0.019926639	0.079736686	0.249905529	0.802660407	0.942295762
1500032L24Rik	775.4562057	-0.106569344	0.056930166	-1.871931025	0.061216147	0.37281815
1500035N22Rik	2.776607698	-0.739075126	0.686953402	-1.075873741	0.281983727	NA
1520401A03Rik	1.559799331	1.109451345	0.967268155	1.146994594	0.251383855	NA
1520402A15Rik	41.55317612	0.060395729	0.161439066	0.374108511	0.708323587	0.909938455
1600002H07Rik	89.65133209	0.172258214	0.137746599	1.250544231	0.211100808	0.62834323
1600002K03Rik	46.02506224	0.14655541	0.182611243	0.802554145	0.422232481	0.780592331
1600010M07Rik	0.052932172	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1600012F09Rik	439.2173759	0.12049412	0.06901274	1.745969209	0.080816302	0.424952751
1600012H06Rik	2.302386002	-0.588557214	0.762361885	-0.772018152	0.440103676	NA
1600012P17Rik	0.124766835	-0.657026156	3.06038251	-0.214687593	0.830010896	NA
1600014C10Rik	1.430502552	-0.046523034	0.810222243	-0.05742009	0.95421056	NA
1600014C23Rik	31.03531509	0.395477597	0.180729294	2.188231841	0.028652719	0.252641205
1600014K23Rik	0	NA	NA	NA	NA	NA
1600015I10Rik	0	NA	NA	NA	NA	NA
1600016N20Rik	3.747904882	0.701652738	0.525533793	1.33512392	0.181835792	NA
1600020E01Rik	70.89376669	0.284009566	0.122183594	2.324449263	0.020101428	0.213395158
1600021P15Rik	126.3939273	0.104655278	0.114183509	0.916553349	0.35937674	0.749856932
1600025M17Rik	0	NA	NA	NA	NA	NA
1600027N09Rik	80.67334567	0.043564921	0.114717721	0.379757553	0.704125394	0.909822582
1600029D21Rik	2.171441211	0.322888627	0.690168395	0.467840355	0.63989876	NA
1600029I14Rik	0	NA	NA	NA	NA	NA
1600029O15Rik	9.238249938	-0.202046781	0.381037784	-0.530253926	0.595935887	NA
1700001C02Rik	0	NA	NA	NA	NA	NA
1700001C19Rik	0	NA	NA	NA	NA	NA
1700001F09Rik	0.366474661	0.806065901	1.890529313	0.426370486	0.669837904	NA
1700001G11Rik	1.399068628	0.133033548	0.909160438	0.146325712	0.883664269	NA
1700001G17Rik	2.527284032	0.974411953	0.633064055	1.539199619	0.123755571	NA
1700001J03Rik	2.062631064	1.244938637	0.842877006	1.477011032	0.13967268	NA
1700001J11Rik	3.51695819	0.829981676	0.58169956	1.426821907	0.153631235	NA
1700001K19Rik	6.435500008	0.031947375	0.438953924	0.072780704	0.941980627	NA
1700001L05Rik	29.98587236	0.197114528	0.235042151	0.838634805	0.401674273	0.773691776
1700001L19Rik	9.061073981	0.013544945	0.342966894	0.039493446	0.968496979	NA
1700001O22Rik	10.05741323	-0.441848165	0.346109356	-1.276614335	0.201738439	NA
1700001P01Rik	1.956114534	0.380549352	0.756837596	0.502815075	0.615094294	NA
1700003E16Rik	88.19264779	0.087731005	0.110948675	0.790735045	0.429098621	0.784861722
1700003E24Rik	0	NA	NA	NA	NA	NA
1700003F12Rik	1.861509415	0.333530259	0.789395511	0.422513498	0.67265025	NA
1700003F17Rik	0	NA	NA	NA	NA	NA
1700003G18Rik	0.369996525	2.055951661	2.025042426	1.0152635	0.309980238	NA
1700003H04Rik	0	NA	NA	NA	NA	NA
1700003M02Rik	41.48541891	0.167316303	0.15812446	1.058130433	0.289995981	0.697185076
1700006A11Rik	0	NA	NA	NA	NA	NA
1700006E09Rik	0	NA	NA	NA	NA	NA
1700006J14Rik	0.928210992	-0.917569794	1.077332832	-0.851705032	0.394377827	NA
1700007B14Rik	0	NA	NA	NA	NA	NA
1700007E05Rik	7.340642354	-0.00065602	0.449212054	-0.001460378	0.998834787	NA
1700007E06Rik	0	NA	NA	NA	NA	NA
1700007G11Rik	5.361211724	0.090842134	0.461997663	0.196628991	0.844117882	NA
1700007I08Rik	0.598176443	-0.12792573	1.619598301	-0.078986086	0.937043691	NA
1700007K09Rik	0.939672343	1.016997291	1.208050738	0.841849815	0.399872024	NA
1700007K13Rik	9.940618764	0.123558206	0.324306353	0.380992245	0.703209003	NA
1700008A04Rik	0	NA	NA	NA	NA	NA
1700008B15Rik	0.112748438	0.785651995	3.06038251	0.256716927	0.797397303	NA
1700008F21Rik	0	NA	NA	NA	NA	NA
1700008I05Rik	0	NA	NA	NA	NA	NA
1700008J07Rik	68.94756502	-0.009797314	0.12794887	-0.076572104	0.938963952	0.985088665
1700008K24Rik	0.269857229	-0.657024276	2.209077652	-0.297420181	0.766145738	NA
1700008O03Rik	5.536338091	-0.106214982	0.398187603	-0.26674608	0.789664672	NA
1700008P02Rik	0	NA	NA	NA	NA	NA
1700008P20Rik	0.798709927	-0.190262634	1.527878972	-0.124527294	0.900897791	NA
1700009J07Rik	0.123666231	0.785651995	3.06038251	0.256716927	0.797397303	NA
1700009N14Rik	0	NA	NA	NA	NA	NA
1700009P17Rik	8.483250759	-0.339342022	0.404082797	-0.839783393	0.401029846	NA
1700010B08Rik	0.058868447	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700010D01Rik	0	NA	NA	NA	NA	NA
1700010I14Rik	2.383591954	0.375568768	0.820846488	0.457538374	0.647284126	NA
1700010L04Rik	0.575651175	-1.533294232	1.451319337	-1.056483017	0.290747596	NA
1700010M22Rik	0	NA	NA	NA	NA	NA
1700011A15Rik	0	NA	NA	NA	NA	NA
1700011E24Rik	2.118270452	0.203862934	0.712775367	0.286012877	0.774868259	NA
1700011F03Rik	0.500823659	-0.211405383	1.640808282	-0.128842221	0.897482497	NA
1700011F14Rik	1.53738668	0.624840168	0.871401551	0.717051935	0.473342052	NA
1700011H14Rik	0	NA	NA	NA	NA	NA
1700011I03Rik	1.769892163	-1.16792939	0.841077215	-1.388611378	0.164950956	NA
1700011L22Rik	1.361673931	-1.726927156	1.302394853	-1.325962823	0.184852012	NA
1700011M02Rik	0	NA	NA	NA	NA	NA
1700012A03Rik	0	NA	NA	NA	NA	NA
1700012A16Rik	2.077341115	0.125889158	0.741218197	0.16984089	0.865135269	NA
1700012B07Rik	0	NA	NA	NA	NA	NA
1700012B09Rik	0.1319279	-0.657026156	3.06038251	-0.214687593	0.830010896	NA
1700012B15Rik	187.9142989	-0.080023526	0.094259379	-0.848971497	0.395897153	0.772039248
1700012D01Rik	3.780145162	-0.801077684	0.50141296	-1.597640564	0.110122993	NA
1700012D14Rik	22.37093478	0.229981181	0.231929319	0.991600295	0.321392545	NA
1700012L04Rik	0	NA	NA	NA	NA	NA
1700012P22Rik	0	NA	NA	NA	NA	NA
1700013B16Rik	0	NA	NA	NA	NA	NA
1700013D24Rik	0	NA	NA	NA	NA	NA
1700013F07Rik	3.116082688	0.360135675	0.607519097	0.592797291	0.553316821	NA
1700013G24Rik	0	NA	NA	NA	NA	NA
1700013H16Rik	0.192359967	1.146326543	2.760530543	0.415255881	0.677954595	NA
1700013N18Rik	0.06986416	0.424981613	3.06038251	0.138865521	0.889556417	NA
1700014N06Rik	0	NA	NA	NA	NA	NA
1700015E13Rik	0.051669733	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700015F17Rik	0.75231616	-2.478874742	1.421935926	-1.743309735	0.081279526	NA
1700016C15Rik	0.062383417	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700016D06Rik	0	NA	NA	NA	NA	NA
1700016G14Rik	0	NA	NA	NA	NA	NA
1700016H13Rik	0	NA	NA	NA	NA	NA
1700016K19Rik	1.619237214	0.441490253	0.984073973	0.44863523	0.653694815	NA
1700016M24Rik	0	NA	NA	NA	NA	NA
1700016P04Rik	0	NA	NA	NA	NA	NA
1700017B05Rik	67.83058184	-0.341809571	0.136744678	-2.499618831	0.0124327	0.164907999
1700017D01Rik	0	NA	NA	NA	NA	NA
1700017J07Rik	0.115860562	-0.657026156	3.06038251	-0.214687593	0.830010896	NA
1700017N19Rik	3.395279805	0.36708744	0.607082912	0.604674309	0.545395421	NA
1700018A04Rik	0.446716847	1.182076938	1.805368313	0.654756666	0.512624435	NA
1700018A14Rik	4.298188853	-1.023247318	0.547095982	-1.870325047	0.061438693	NA
1700018B08Rik	0	NA	NA	NA	NA	NA
1700018B24Rik	0	NA	NA	NA	NA	NA
1700018C11Rik	0	NA	NA	NA	NA	NA
1700018F24Rik	0	NA	NA	NA	NA	NA
1700018L02Rik	64.37453963	-0.042741191	0.132845767	-0.321735436	0.74765313	0.923194539
1700018L24Rik	0.321393101	0.424991237	2.1398637	0.198606686	0.842570423	NA
1700019A02Rik	5.708799027	0.108549409	0.470839724	0.230544288	0.817668853	NA
1700019B03Rik	2.987472601	0.372603614	0.637846929	0.584158357	0.559113776	NA
1700019D03Rik	30.42450531	0.124567841	0.18723971	0.665285375	0.505867983	0.826856252
1700019E19Rik	251.2813334	0.070123299	0.074959822	0.93547847	0.349541774	0.744214965
1700019G17Rik	33.20384972	0.089842258	0.202499615	0.443666317	0.657283851	0.894962235
1700019G24Rik	0	NA	NA	NA	NA	NA
1700019L03Rik	24.16310727	-0.198340947	0.209305261	-0.947615677	0.343325142	NA
1700019M22Rik	0	NA	NA	NA	NA	NA
1700019N12Rik	5.070368981	0.195222385	0.546787924	0.357034924	0.721065661	NA
1700019N19Rik	0.653984543	-0.471517327	1.359921179	-0.346724012	0.728798669	NA
1700019O17Rik	0.108107072	0.785651995	3.06038251	0.256716927	0.797397303	NA
1700019P21Rik	0	NA	NA	NA	NA	NA
1700020A23Rik	0	NA	NA	NA	NA	NA
1700020C07Rik	0.120957495	-0.657026156	3.06038251	-0.214687593	0.830010896	NA
1700020C11Rik	493.4782395	-0.119043439	0.075180803	-1.583428667	0.113323793	0.492630393
1700020D05Rik	26.03559531	0.39629408	0.244875797	1.618347277	0.105587777	NA
1700020I14Rik	21.68698404	-0.076978885	0.300479185	-0.25618708	0.797806385	NA
1700020L24Rik	1.964532253	0.831432705	0.850171039	0.977959336	0.328094436	NA
1700020N01Rik	0.057930281	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700020N15Rik	0	NA	NA	NA	NA	NA
1700020N18Rik	0.198764454	-1.017695457	2.730313579	-0.372739404	0.709342406	NA
1700020O03Rik	376.8069	0.119747102	0.059712441	2.005396186	0.044920709	0.322033167
1700021A07Rik	0	NA	NA	NA	NA	NA
1700021C14Rik	11.00051587	0.173037011	0.322121356	0.537179569	0.591143582	NA
1700021F05Rik	70.38753512	-0.146470311	0.137987312	-1.061476654	0.288473337	0.6961597
1700021F07Rik	0	NA	NA	NA	NA	NA
1700021N21Rik	0.659188041	-1.297893915	1.318241597	-0.984564527	0.324838021	NA
1700021P04Rik	0	NA	NA	NA	NA	NA
1700022A21Rik	0	NA	NA	NA	NA	NA
1700022I11Rik	0.315588491	-1.070363551	2.137372095	-0.500784844	0.616522553	NA
1700022N22Rik	4.448630685	-0.734153277	0.485391675	-1.51249664	0.130407567	NA
1700022P22Rik	0.116619821	0.785651995	3.06038251	0.256716927	0.797397303	NA
1700023A16Rik	0.061833116	0.424981613	3.06038251	0.138865521	0.889556417	NA
1700023E05Rik	0.683483575	-0.15698723	1.212043449	-0.129522774	0.896944006	NA
1700023F02Rik	0.060478748	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700023F06Rik	40.91631588	0.049044668	0.161856699	0.303012901	0.76188003	0.928126749
1700023I07Rik	0	NA	NA	NA	NA	NA
1700023L04Rik	0.891236688	1.87455699	1.368725009	1.369564359	0.170822932	NA
1700024G13Rik	0.668220936	-0.196968264	1.428247991	-0.137909008	0.890312331	NA
1700024P04Rik	0.108107072	0.785651995	3.06038251	0.256716927	0.797397303	NA
1700024P16Rik	1.053958129	-0.975087026	1.24019741	-0.786235335	0.431729629	NA
1700025B11Rik	0	NA	NA	NA	NA	NA
1700025C18Rik	0	NA	NA	NA	NA	NA
1700025E21Rik	2.113685662	-0.459624847	0.855527578	-0.537241416	0.591100867	NA
1700025F22Rik	0	NA	NA	NA	NA	NA
1700025G04Rik	729.8713991	-0.064898663	0.052084844	-1.246018185	0.212757719	0.630068121
1700025H01Rik	0	NA	NA	NA	NA	NA
1700025K23Rik	38.05487356	0.183234674	0.205772865	0.890470539	0.373213281	0.758593023
1700026D08Rik	0.897049779	2.401708019	1.229158296	1.953945254	0.050707692	NA
1700026D11Rik	0	NA	NA	NA	NA	NA
1700026J04Rik	2.137789161	-1.272300373	0.833947754	-1.525635588	0.127100644	NA
1700026J12Rik	0	NA	NA	NA	NA	NA
1700026L06Rik	0.11103434	0.064312919	3.06038251	0.021014667	0.983233956	NA
1700027A15Rik	0.068693736	0.424981613	3.06038251	0.138865521	0.889556417	NA
1700027D21Rik	4.387874614	0.049883961	0.579460287	0.086086937	0.931397308	NA
1700027L20Rik	54.56851159	-0.954960107	0.179418409	-5.322531361	1.02E-07	2.02E-05
1700028B04Rik	0	NA	NA	NA	NA	NA
1700028I16Rik	0	NA	NA	NA	NA	NA
1700028J19Rik	0.453517416	0.036147112	1.683080475	0.021476758	0.982865344	NA
1700028K03Rik	8.660215758	-0.057666776	0.360429966	-0.1599944	0.872885486	NA
1700028P14Rik	2.353476501	-0.502793373	0.819748213	-0.613350984	0.539644289	NA
1700029E06Rik	0.24220696	-0.65702429	2.282677215	-0.287830573	0.773476434	NA
1700029F09Rik	52.20475898	0.076668775	0.157134547	0.487918006	0.62560792	0.882970344
1700029F12Rik	0	NA	NA	NA	NA	NA
1700029G01Rik	0.269522666	0.064319744	1.981849127	0.03245441	0.974109673	NA
1700029H14Rik	0	NA	NA	NA	NA	NA
1700029I01Rik	43.99941501	0.075728643	0.173548197	0.436355111	0.662579103	0.896272626
1700029I15Rik	12.12095832	-0.048335031	0.344310649	-0.140382039	0.888358148	NA
1700029J07Rik	230.7086566	0.299339956	0.088130097	3.396568987	0.000682364	0.024595056
1700029J11Rik	0.94038677	0.065066206	1.140778517	0.057036669	0.954515985	NA
1700029M03Rik	0	NA	NA	NA	NA	NA
1700029M20Rik	0	NA	NA	NA	NA	NA
1700029P11Rik	0.079999047	0.424981613	3.06038251	0.138865521	0.889556417	NA
1700030C10Rik	12.20385559	0.316544751	0.312847064	1.011819471	0.311624378	NA
1700030C12Rik	0.162097487	0.424987475	2.560540828	0.165975668	0.868176099	NA
1700030F18Rik	0.24030469	-1.412771624	2.605690999	-0.542186938	0.587689733	NA
1700030J22Rik	148.0060194	0.100823485	0.092064861	1.095135365	0.273457337	0.685023792
1700030K09Rik	96.04318706	0.047827832	0.107731441	0.44395426	0.657075654	0.894962235
1700031F05Rik	0	NA	NA	NA	NA	NA
1700031L13Rik	0.060478748	-0.296357463	3.06038251	-0.096836739	0.922856047	NA
1700031M16Rik	0	NA	NA	NA	NA	NA
1700034E13Rik	0	NA	NA	NA	NA	NA
1700034F02Rik	0	NA	NA	NA	NA	NA
1700034H14Rik	96.66492109	0.180871572	0.107992314	1.67485597	0.093962494	0.454150108
1700034H15Rik	20.44918487	-0.247861561	0.238621102	-1.038724401	0.298932929	NA
1700034I23Rik	0.485019561	1.289194937	1.603756086	0.803859732	0.421477988	NA
1700034J04Rik	0	NA	NA	NA	NA	NA
1700034J05Rik	0	NA	NA	NA	NA	NA
1700034O15Rik	0	NA	NA	NA	NA	NA
1700036A12Rik	0.629272911	-0.421502387	1.742436474	-0.24190402	0.808854535	NA
1700037C18Rik	18.32118949	-0.102467465	0.292458741	-0.35036554	0.726064384	NA
1700037H04Rik	93.34407359	-0.210634116	0.112693963	-1.869080743	0.061611582	0.373772873
1700039E15Rik	0	NA	NA	NA	NA	NA
1700039M10Rik	0	NA	NA	NA	NA	NA
1700040D17Rik	23.7617665	0.196152922	0.237477006	0.825987008	0.408811462	NA
