source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0043226,organelle,2.1032652036377373e-09,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",16169,277,218,26995,0.7870036101083032,0.013482590141629043,query_1,['GO:0110165']
GO:CC,GO:0120025,plasma membrane bounded cell projection,2.1537901096067266e-09,True,"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]",2460,277,62,26995,0.22382671480144403,0.025203252032520326,query_1,['GO:0042995']
GO:BP,GO:0007399,nervous system development,4.187800972584821e-09,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2529,275,64,26944,0.23272727272727273,0.02530644523527086,query_1,['GO:0048731']
GO:BP,GO:0048856,anatomical structure development,4.187800972584821e-09,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",6269,275,115,26944,0.41818181818181815,0.01834423353006859,query_1,['GO:0032502']
GO:BP,GO:0051179,localization,5.794071551417842e-09,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5364,275,103,26944,0.37454545454545457,0.019202087994034302,query_1,['GO:0008150']
GO:BP,GO:0006810,transport,6.265177233019015e-09,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",4397,275,90,26944,0.32727272727272727,0.020468501250852856,query_1,['GO:0051234']
GO:BP,GO:0050789,regulation of biological process,6.265177233019015e-09,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",13144,275,189,26944,0.6872727272727273,0.014379184418746195,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0009987,cellular process,7.899161276471136e-09,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",20967,275,255,26944,0.9272727272727272,0.012161968808127057,query_1,['GO:0008150']
GO:CC,GO:0005622,intracellular anatomical structure,8.47340259364616e-09,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",17412,277,227,26995,0.8194945848375451,0.013036985986675857,query_1,['GO:0110165']
GO:CC,GO:0045202,synapse,1.1276328140278996e-08,True,"""The junction between an axon of one neuron and a dendrite of another neuron, a muscle fiber or a glial cell. As the axon approaches the synapse it enlarges into a specialized structure, the presynaptic terminal bouton, which contains mitochondria and synaptic vesicles. At the tip of the terminal bouton is the presynaptic membrane; facing it, and separated from it by a minute cleft (the synaptic cleft) is a specialized area of membrane on the receiving cell, known as the postsynaptic membrane. In response to the arrival of nerve impulses, the presynaptic terminal bouton secretes molecules of neurotransmitters into the synaptic cleft. These diffuse across the cleft and transmit the signal to the postsynaptic membrane."" [GOC:aruk, ISBN:0198506732, PMID:24619342, PMID:29383328, PMID:31998110]",1641,277,47,26995,0.16967509025270758,0.028641072516758074,query_1,['GO:0030054']
GO:BP,GO:0051234,establishment of localization,1.1468016964323107e-08,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4696,275,93,26944,0.3381818181818182,0.019804088586030666,query_1,['GO:0051179']
GO:BP,GO:0032502,developmental process,1.1468016964323107e-08,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6854,275,120,26944,0.43636363636363634,0.017508024511234316,query_1,['GO:0008150']
GO:BP,GO:0048699,generation of neurons,1.460215578264885e-08,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",1651,275,48,26944,0.17454545454545456,0.029073288915808602,query_1,['GO:0022008']
GO:BP,GO:0048518,positive regulation of biological process,1.9486597900710413e-08,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6589,275,116,26944,0.4218181818181818,0.017605099408104417,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0030182,neuron differentiation,2.6043998719704924e-08,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",1569,275,46,26944,0.16727272727272727,0.029318036966220522,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0050794,regulation of cellular process,6.500721639166298e-08,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",12593,275,180,26944,0.6545454545454545,0.01429365520527277,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0051128,regulation of cellular component organization,1.3596313773375736e-07,True,"""Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of cell structures, including the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."" [GOC:ai]",2546,275,60,26944,0.21818181818181817,0.02356637863315004,query_1,"['GO:0016043', 'GO:0050794']"
GO:MF,GO:0032559,adenyl ribonucleotide binding,1.8590283516740746e-07,True,"""Binding to an adenyl ribonucleotide, any compound consisting of adenosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",1560,273,46,25063,0.1684981684981685,0.029487179487179487,query_1,"['GO:0030554', 'GO:0032555']"
GO:CC,GO:0043227,membrane-bounded organelle,2.9877981232267634e-07,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14934,277,200,26995,0.7220216606498195,0.013392259274139548,query_1,['GO:0043226']
GO:MF,GO:0005524,ATP binding,3.3351982080060264e-07,True,"""Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."" [ISBN:0198506732]",1490,273,44,25063,0.16117216117216118,0.02953020134228188,query_1,"['GO:0032559', 'GO:0035639']"
GO:BP,GO:0098657,import into cell,3.399658058940783e-07,True,"""The directed movement of some substance from outside of a cell into a cell. This may occur via transport across the plasma membrane or via endocytosis."" [GOC:dos]",916,275,32,26944,0.11636363636363636,0.034934497816593885,query_1,['GO:0006810']
GO:MF,GO:0030554,adenyl nucleotide binding,3.7064112147458317e-07,True,"""Binding to an adenyl nucleotide, an adenosine esterified with (ortho)phosphate."" [ISBN:0198506732]",1678,273,47,25063,0.17216117216117216,0.02800953516090584,query_1,['GO:0017076']
GO:BP,GO:0071840,cellular component organization or biogenesis,4.6874040637036647e-07,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]",7815,275,126,26944,0.4581818181818182,0.016122840690978888,query_1,['GO:0009987']
GO:CC,GO:0030054,cell junction,6.117080406026435e-07,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, http://www.vivo.colostate.edu/hbooks/cmb/cells/pmemb/junctions_a.html, ISBN:0198506732, PMID:26820516, PMID:28096264]",2260,277,53,26995,0.19133574007220217,0.023451327433628318,query_1,['GO:0110165']
GO:MF,GO:0019899,enzyme binding,6.613771881868332e-07,True,"""Binding to an enzyme, a protein with catalytic activity."" [GOC:jl]",2330,273,57,25063,0.2087912087912088,0.024463519313304722,query_1,['GO:0005515']
GO:CC,GO:0098588,bounding membrane of organelle,7.969925285898488e-07,True,"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",1767,277,45,26995,0.1624548736462094,0.025466893039049237,query_1,['GO:0031090']
GO:BP,GO:0048522,positive regulation of cellular process,1.4140818014511877e-06,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",6078,275,104,26944,0.3781818181818182,0.017110891740704178,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:CC,GO:0043229,intracellular organelle,1.4317353719974805e-06,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",15836,277,206,26995,0.7436823104693141,0.01300833543824198,query_1,"['GO:0005622', 'GO:0043226']"
GO:MF,GO:0032555,purine ribonucleotide binding,2.3504061061464002e-06,True,"""Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",1921,273,49,25063,0.1794871794871795,0.025507548152004164,query_1,"['GO:0017076', 'GO:0032553']"
GO:CC,GO:0031090,organelle membrane,2.4497932202927636e-06,True,"""A membrane that is one of the two lipid bilayers of an organelle envelope or the outermost membrane of single membrane bound organelle."" [GOC:dos, GOC:mah]",3365,277,67,26995,0.24187725631768953,0.01991084695393759,query_1,"['GO:0016020', 'GO:0043227']"
GO:CC,GO:0043025,neuronal cell body,2.57652700652712e-06,True,"""The portion of a neuron that includes the nucleus, but excludes cell projections such as axons and dendrites."" [GOC:go_curators]",743,277,26,26995,0.09386281588447654,0.034993270524899055,query_1,"['GO:0036477', 'GO:0044297']"
GO:BP,GO:0048666,neuron development,2.6642102777016768e-06,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",1287,275,37,26944,0.13454545454545455,0.028749028749028748,query_1,"['GO:0030182', 'GO:0048468']"
GO:MF,GO:0032553,ribonucleotide binding,2.802872353067026e-06,True,"""Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",1940,273,49,25063,0.1794871794871795,0.025257731958762887,query_1,"['GO:0000166', 'GO:0097367']"
GO:CC,GO:0001917,photoreceptor inner segment,2.977093610418031e-06,True,"""The inner segment of a vertebrate photoreceptor containing mitochondria, ribosomes and membranes where opsin molecules are assembled and passed to be part of the outer segment discs."" [GOC:add, PMID:12019563]",75,277,9,26995,0.032490974729241874,0.12,query_1,['GO:0110165']
GO:BP,GO:0051641,cellular localization,3.042739113618274e-06,True,"""A cellular localization process whereby a substance or cellular entity, such as a protein complex or organelle, is transported to, and/or maintained in, a specific location within a cell including the localization of substances or cellular entities to the cell membrane."" [GOC:tb, GOC:vw]",3502,275,70,26944,0.2545454545454545,0.019988577955454025,query_1,"['GO:0009987', 'GO:0051179']"
GO:CC,GO:0043231,intracellular membrane-bounded organelle,3.4503659077938106e-06,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14435,277,191,26995,0.6895306859205776,0.013231728437824731,query_1,"['GO:0043227', 'GO:0043229']"
GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,3.6668146974005903e-06,True,"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",1841,273,47,25063,0.17216117216117216,0.025529603476371537,query_1,"['GO:0043168', 'GO:1901265', 'GO:1901363']"
GO:BP,GO:0008104,protein localization,3.71773491359173e-06,True,"""Any process in which a protein is transported to, or maintained in, a specific location."" [GOC:ai]",2594,275,57,26944,0.20727272727272728,0.02197378565921357,query_1,['GO:0070727']
GO:MF,GO:0017076,purine nucleotide binding,4.073598408256695e-06,True,"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]",2040,273,50,25063,0.18315018315018314,0.024509803921568627,query_1,['GO:0000166']
GO:BP,GO:0070727,cellular macromolecule localization,4.075731825612983e-06,True,"""Any process in which a macromolecule is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell."" [GOC:mah]",2604,275,57,26944,0.20727272727272728,0.021889400921658985,query_1,"['GO:0033036', 'GO:0051641']"
GO:CC,GO:0012505,endomembrane system,4.45370899683928e-06,True,"""A collection of membranous structures involved in transport within the cell. The main components of the endomembrane system are endoplasmic reticulum, Golgi bodies, vesicles, cell membrane and nuclear envelope. Members of the endomembrane system pass materials through each other or though the use of vesicles."" [GOC:lh]",4287,277,78,26995,0.2815884476534296,0.01819454163750875,query_1,['GO:0110165']
GO:CC,GO:0036477,somatodendritic compartment,4.45370899683928e-06,True,"""The region of a neuron that includes the cell body (cell soma) and dendrite(s), but excludes the axon."" [GOC:pad, GOC:PARL]",1103,277,32,26995,0.11552346570397112,0.02901178603807797,query_1,['GO:0110165']
GO:CC,GO:0044297,cell body,4.45370899683928e-06,True,"""The portion of a cell bearing surface projections such as axons, dendrites, cilia, or flagella that includes the nucleus, but excludes all cell projections."" [GOC:go_curators]",829,277,27,26995,0.09747292418772563,0.032569360675512665,query_1,['GO:0110165']
GO:CC,GO:0098984,neuron to neuron synapse,4.520463079422787e-06,True,"""A synapse in which pre and post-synaptic cells are neurons."" [GOC:dos]",437,277,19,26995,0.06859205776173286,0.043478260869565216,query_1,['GO:0045202']
GO:BP,GO:0030154,cell differentiation,4.636303884392769e-06,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",4777,275,86,26944,0.31272727272727274,0.018002930709650408,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,4.636303884392769e-06,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",4778,275,86,26944,0.31272727272727274,0.01799916282963583,query_1,"['GO:0009987', 'GO:0032502']"
GO:CC,GO:0030425,dendrite,4.767812910009609e-06,True,"""A neuron projection that has a short, tapering, morphology. Dendrites receive and integrate signals from other neurons or from sensory stimuli, and conduct nerve impulses towards the axon or the cell body. In most neurons, the impulse is conveyed from dendrites to axon via the cell body, but in some types of unipolar neuron, the impulse does not travel via the cell body."" [GOC:aruk, GOC:bc, GOC:dos, GOC:mah, GOC:nln, ISBN:0198506732]",783,277,26,26995,0.09386281588447654,0.033205619412515965,query_1,"['GO:0043005', 'GO:0097447']"
GO:CC,GO:0097447,dendritic tree,4.780307717117556e-06,True,"""The entire complement of dendrites for a neuron, consisting of each primary dendrite and all its branches."" [GOC:aruk, GOC:bc, NIF_Subcellular:sao172297168]",785,277,26,26995,0.09386281588447654,0.033121019108280254,query_1,"['GO:0036477', 'GO:0043005']"
GO:BP,GO:0034660,ncRNA metabolic process,7.278043119872983e-06,True,"""The chemical reactions and pathways involving non-coding RNA transcripts (ncRNAs)."" [GOC:mah]",638,275,24,26944,0.08727272727272728,0.03761755485893417,query_1,['GO:0016070']
GO:BP,GO:0033036,macromolecule localization,7.79420475814979e-06,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",3092,275,63,26944,0.2290909090909091,0.0203751617076326,query_1,['GO:0051179']
GO:MF,GO:0097367,carbohydrate derivative binding,8.05215235956226e-06,True,"""Binding to a carbohydrate derivative."" [GOC:pr]",2284,273,53,25063,0.19413919413919414,0.023204903677758317,query_1,['GO:0005488']
GO:BP,GO:0023051,regulation of signaling,8.370822225128203e-06,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3616,275,70,26944,0.2545454545454545,0.019358407079646017,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0031175,neuron projection development,8.655367266870242e-06,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",1131,275,33,26944,0.12,0.029177718832891247,query_1,"['GO:0048666', 'GO:0120036']"
GO:CC,GO:1902494,catalytic complex,1.0246605209725539e-05,True,"""A protein complex which is capable of catalytic activity."" [GOC:bhm, GOC:TermGenie, PMID:8077207]",1783,277,42,26995,0.15162454873646208,0.023555804823331465,query_1,['GO:0032991']
GO:CC,GO:0005829,cytosol,1.2140852579369948e-05,True,"""The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."" [GOC:hjd, GOC:jl]",4105,277,74,26995,0.26714801444043323,0.018026796589524968,query_1,"['GO:0005737', 'GO:0110165']"
GO:MF,GO:0000166,nucleotide binding,1.2903002082170433e-05,True,"""Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."" [GOC:mah, ISBN:0198547684]",2200,273,51,25063,0.18681318681318682,0.023181818181818182,query_1,"['GO:1901265', 'GO:1901363']"
GO:MF,GO:1901265,nucleoside phosphate binding,1.2903002082170433e-05,True,"""Binding to nucleoside phosphate."" [GOC:TermGenie]",2200,273,51,25063,0.18681318681318682,0.023181818181818182,query_1,['GO:0097159']
GO:BP,GO:0048519,negative regulation of biological process,1.3258579074925693e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",5966,275,99,26944,0.36,0.01659403285283272,query_1,"['GO:0008150', 'GO:0050789']"
GO:CC,GO:0031410,cytoplasmic vesicle,1.3438050335190918e-05,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2077,277,46,26995,0.16606498194945848,0.022147327876745306,query_1,"['GO:0005737', 'GO:0097708']"
GO:CC,GO:0032991,protein-containing complex,1.3438050335190918e-05,True,"""A stable assembly of two or more macromolecules, i.e. proteins, nucleic acids, carbohydrates or lipids, in which at least one component is a protein and the constituent parts function together."" [GOC:dos, GOC:mah]",7427,277,114,26995,0.41155234657039713,0.015349400834791976,query_1,['GO:0005575']
GO:CC,GO:0097708,intracellular vesicle,1.3652786242674713e-05,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2081,277,46,26995,0.16606498194945848,0.022104757328207592,query_1,"['GO:0031982', 'GO:0043231']"
GO:CC,GO:0098794,postsynapse,1.5865002301271625e-05,True,"""The part of a synapse that is part of the post-synaptic cell."" [GOC:dos]",847,277,26,26995,0.09386281588447654,0.030696576151121605,query_1,"['GO:0045202', 'GO:0110165']"
GO:BP,GO:0032970,regulation of actin filament-based process,1.7929069561476852e-05,True,"""Any process that modulates the frequency, rate or extent of any cellular process that depends upon or alters the actin cytoskeleton."" [GOC:mah]",393,275,18,26944,0.06545454545454546,0.04580152671755725,query_1,"['GO:0030029', 'GO:0050794']"
GO:MF,GO:0140098,"catalytic activity, acting on RNA",2.0158533044468607e-05,True,"""Catalytic activity that acts to modify RNA, driven by ATP hydrolysis."" [GOC:molecular_function_refactoring, GOC:pdt]",390,273,18,25063,0.06593406593406594,0.046153846153846156,query_1,['GO:0140640']
GO:MF,GO:0019900,kinase binding,2.1260491207601866e-05,True,"""Binding to a kinase, any enzyme that catalyzes the transfer of a phosphate group."" [GOC:jl]",872,273,28,25063,0.10256410256410256,0.03211009174311927,query_1,['GO:0019899']
GO:BP,GO:0016043,cellular component organization,2.9391099134145934e-05,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]",7612,275,117,26944,0.4254545454545455,0.015370467682606411,query_1,['GO:0071840']
GO:MF,GO:1901363,heterocyclic compound binding,2.986677331654083e-05,True,"""Binding to heterocyclic compound."" [GOC:TermGenie]",2343,273,52,25063,0.19047619047619047,0.022193768672641914,query_1,['GO:0036094']
GO:MF,GO:0043168,anion binding,3.060653076159025e-05,True,"""Binding to an anion, a charged atom or group of atoms with a net negative charge."" [GOC:jl]",2483,273,54,25063,0.1978021978021978,0.02174788562223117,query_1,['GO:0043167']
GO:CC,GO:0031982,vesicle,3.475064579927324e-05,True,"""Any small, fluid-filled, spherical organelle enclosed by membrane."" [GOC:mah, GOC:pz, GOC:vesicles]",2228,277,47,26995,0.16967509025270758,0.0210951526032316,query_1,['GO:0043227']
GO:BP,GO:0048523,negative regulation of cellular process,3.5175519466926696e-05,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",5599,275,93,26944,0.3381818181818182,0.016610108948026434,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0010646,regulation of cell communication,3.5175519466926696e-05,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3616,275,68,26944,0.24727272727272728,0.018805309734513276,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0120036,plasma membrane bounded cell projection organization,4.7488972709572296e-05,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a plasma membrane bounded prolongation or process extending from a cell, e.g. a cilium or axon."" [GOC:krc]",1666,275,40,26944,0.14545454545454545,0.024009603841536616,query_1,['GO:0030030']
GO:BP,GO:0033365,protein localization to organelle,4.883987114502402e-05,True,"""A process in which a protein is transported to, or maintained in, a location within an organelle."" [GOC:mah]",996,275,29,26944,0.10545454545454545,0.029116465863453816,query_1,['GO:0008104']
GO:MF,GO:0003724,RNA helicase activity,5.04619698261722e-05,True,"""Unwinding of an RNA helix, driven by ATP hydrolysis."" [GOC:jl, PMID:19158098]",71,273,8,25063,0.029304029304029304,0.11267605633802817,query_1,"['GO:0004386', 'GO:0008186', 'GO:0140098']"
GO:CC,GO:0016020,membrane,5.695035159272489e-05,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",10191,277,142,26995,0.5126353790613718,0.013933863212638602,query_1,['GO:0110165']
GO:CC,GO:0030424,axon,5.8386494979989166e-05,True,"""The long process of a neuron that conducts nerve impulses, usually away from the cell body to the terminals and varicosities, which are sites of storage and release of neurotransmitter."" [GOC:nln, ISBN:0198506732]",801,277,24,26995,0.08664259927797834,0.0299625468164794,query_1,['GO:0043005']
GO:CC,GO:0001750,photoreceptor outer segment,5.8386494979989166e-05,True,"""The outer segment of a vertebrate photoreceptor that contains a stack of membrane discs embedded with photoreceptor proteins."" [GOC:cilia, GOC:krc, GOC:pde, ISBN:0824072820, PMID:19501669, PMID:26574505, PMID:6771304]",87,277,8,26995,0.02888086642599278,0.09195402298850575,query_1,"['GO:0097733', 'GO:0110165']"
GO:MF,GO:0008186,"ATP-dependent activity, acting on RNA",5.927712601748262e-05,True,"""Catalysis of the reaction: ATP + H2O = ADP + phosphate; this reaction requires the presence of RNA, and it drives another reaction."" [GOC:jl]",73,273,8,25063,0.029304029304029304,0.1095890410958904,query_1,['GO:0140657']
GO:BP,GO:0043412,macromolecule modification,6.347978306748319e-05,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2937,275,58,26944,0.2109090909090909,0.01974804221995233,query_1,['GO:0043170']
GO:BP,GO:0050896,response to stimulus,7.623407694629236e-05,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",10506,275,147,26944,0.5345454545454545,0.013992004568817818,query_1,['GO:0008150']
