RefSeq Symbol	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Hnrpdl	1484.3301	-0.321122073	0.053910048	-5.956627475	2.57e-09	7.42e-07
Hook3	2334.455602	-0.167844795	0.047207551	-3.555465009	0.000377311	0.015482818
Hpcal1	444.9795221	-0.381725733	0.06006831	-6.354860572	2.09e-10	8.24e-08
Hspb6	1888.646577	-0.248881439	0.060991312	-4.08060481	4.49e-05	0.00323809
Iars	779.8588173	-0.141109965	0.047908578	-2.945400818	0.003225365	0.071245182
Ifrd1	458.4148293	-0.210967339	0.058492885	-3.606717974	0.000310094	0.013842665
Igj	99.66769235	-0.590672844	0.135030082	-4.374379646	1.22e-05	0.001170498
Ints1	902.7207529	-0.135065282	0.044581509	-3.029625632	0.00244857	0.059718914
Ipo4	439.1174132	-0.220605741	0.061758507	-3.572070498	0.00035417	0.015014318
Iqsec1	1291.720026	-0.214544432	0.052030745	-4.123416502	3.73e-05	0.00282459
Itih5	30.96520683	-0.674663529	0.221910599	-3.040249242	0.002363824	0.058924399
Kbtbd11	599.4019249	-0.163492667	0.056298049	-2.904055643	0.003683627	0.0776692
Kcnj10	857.2448303	-0.150498609	0.045387676	-3.315847402	0.000913657	0.030560702
Kdm4a	256.8587879	-0.264644517	0.074050326	-3.573846727	0.000351775	0.015014318
Kdm4c	63.97125611	-0.688468359	0.14453165	-4.763443585	1.9e-06	0.000257024
Kif1b	8782.614265	-0.249552016	0.051366944	-4.858221968	1.18e-06	0.000177984
Kif4	26.63420708	-0.684657912	0.226648111	-3.020796907	0.002521104	0.060772773
Klhl18	3076.428309	-0.140758739	0.049562645	-2.840016698	0.004511117	0.08687565
Klhl23	612.0480461	-0.314042416	0.087919186	-3.57194406	0.000354341	0.015014318
Klhl36	430.788694	-0.278081673	0.065743474	-4.229798875	2.34e-05	0.002051975
Laptm4b	4486.016398	-0.120348382	0.036521102	-3.295310777	0.000983129	0.032076459
Lingo1	425.815461	-0.155973072	0.055468239	-2.811934813	0.004924448	0.09185129
Lmo7	37.31638368	-0.688962413	0.236418866	-2.914160042	0.00356647	0.076101341
LOC100503085	212.5518348	-0.31358278	0.101802053	-3.080318831	0.002067791	0.054607088
LOC100503386	122.1458249	-0.336563518	0.090650873	-3.712744352	0.000205024	0.00994273
LOC100504265	49.07204992	-0.620885306	0.196694233	-3.156601478	0.001596193	0.045052346
LOC100504541	63.56642237	-0.446700728	0.139283339	-3.207136855	0.001340632	0.040054236
Lrp4	307.9304173	-0.269478939	0.084375609	-3.193801421	0.001404127	0.04121433
Lrrc47	405.9511632	-0.222410983	0.073804652	-3.013508992	0.002582454	0.061352945
Lrrc8b	1032.989178	-0.185025878	0.052335278	-3.535394985	0.000407166	0.01635649
Lsm14b	627.8665079	-0.211829276	0.054414422	-3.892888493	9.91e-05	0.005856067
Lynx1	1533.658309	-0.221090995	0.036291945	-6.092012855	1.11e-09	3.6e-07
Lzic	127.4924578	-0.342222211	0.103236251	-3.314942267	0.000916621	0.030560702
Mat2a	1592.674144	-0.204939582	0.05492181	-3.731479042	0.000190359	0.009357721
Med13l	2538.433441	-0.519131231	0.061839588	-8.394804149	4.67e-17	5.53e-14
Memo1	431.1618963	-0.220089971	0.067632015	-3.254227604	0.001137011	0.03567875
Mepce	506.5053175	-0.168695297	0.049932236	-3.37848472	0.000728865	0.025391773
Mfn2	1718.379674	-0.145048113	0.036189903	-4.007971848	6.12e-05	0.004033305
Mnt	572.6511838	-0.184739707	0.048912662	-3.776930164	0.000158773	0.008105031
Mrps28	143.8026416	-0.274035139	0.089581738	-3.059051376	0.002220391	0.056808988
Mtap1b	22718.12858	-0.219823406	0.056296517	-3.904742529	9.43e-05	0.005622131
Mtap4	7407.76884	-0.136940379	0.027350009	-5.006959175	5.53e-07	8.68e-05
Mthfd1	223.2993898	-0.24294473	0.071858762	-3.380864376	0.000722582	0.025391773
Mtmr10	229.8550133	-0.410575965	0.092456912	-4.440727623	8.97e-06	0.000894768
Mtor	1235.603454	-0.137472947	0.047488738	-2.894853661	0.003793353	0.078741034
Mtss1l	1809.716518	-0.158112931	0.04263166	-3.708814788	0.000208232	0.010052596
Mybbp1a	724.9179841	-0.242161489	0.043967043	-5.507795607	3.63e-08	7.75e-06
Myh7b	114.0211282	-0.534297093	0.135043393	-3.956484508	7.61e-05	0.004734031
Myo10	1062.702454	-0.134680005	0.040663127	-3.312091653	0.000926012	0.03077764
Nap1l5	2060.79777	-0.108534255	0.032239026	-3.366548816	0.000761151	0.026195874
Nav1	1342.923648	-0.182405604	0.061513969	-2.965271249	0.003024162	0.068357584
Ncam1	970.2765639	-0.193522135	0.04249766	-4.553712715	5.27e-06	0.000585765
Ncdn	1184.857057	-0.176714889	0.046087976	-3.834294858	0.000125925	0.006925227
Nhp2	125.0803992	-0.312727452	0.101787674	-3.07235089	0.002123799	0.055386346
Nol6	357.0148993	-0.262180842	0.06222087	-4.213712228	2.51e-05	0.002161396
Notch3	50.03746294	-0.50975498	0.156814933	-3.250678803	0.001151298	0.035811089
Nptx1	965.6516141	-0.233816247	0.046575439	-5.020161998	5.16e-07	8.22e-05
Nsmce1	52.50174641	-0.570472606	0.167338575	-3.409092048	0.000651795	0.023733785
Ntm	1090.344923	-0.185829791	0.050185876	-3.702830508	0.000213207	0.010246437
Nudcd3	581.3613906	-0.182972679	0.049489612	-3.697193605	0.000217996	0.010383037
Nup214	818.9672353	-0.161896604	0.048830933	-3.315451812	0.000914951	0.030560702
Nxnl1	2267.408516	-0.159448976	0.046341159	-3.440763671	0.000580075	0.021946169
Odc1	1474.082829	-0.171970119	0.043723979	-3.933084825	8.39e-05	0.005054974
Pacs1	692.5447819	-0.140398427	0.048416736	-2.899791264	0.003734112	0.078139648
Pak2	816.814694	-0.167654406	0.044071704	-3.804128044	0.000142305	0.007591237
Pam	756.6515228	-0.179136659	0.060299499	-2.970781911	0.002970426	0.06757245
Patl1	466.6457189	-0.171075226	0.050127572	-3.41279694	0.000642998	0.023493662
Pcbp1	1167.577521	-0.130275	0.040853352	-3.188844842	0.001428425	0.041412687
Pcbp3	4289.209559	-0.129856048	0.041360082	-3.139646792	0.001691516	0.046990748
Pcdhb11	60.17081889	-0.525617666	0.181284564	-2.899406625	0.003738697	0.078139648
Pcmtd2	5182.6843	-0.315080626	0.046920865	-6.715149611	1.88e-11	9.54e-09
Pcsk1	79.04886949	-0.335943301	0.120203526	-2.794787422	0.005193385	0.095194731
Pde6b	13374.50698	-0.14192297	0.050002306	-2.838328516	0.004535048	0.087179149
Pdzd8	1516.706653	-0.162604927	0.040747769	-3.990523473	6.59e-05	0.00426292
Pepd	145.6739984	-0.245687242	0.082569525	-2.97551963	0.002924926	0.066963877
Pfas	237.4332013	-0.203771724	0.068286285	-2.984079806	0.002844326	0.066113532
Pi4ka	1950.340606	-0.093985819	0.032096901	-2.928189871	0.003409418	0.073617793
Pigt	1558.602035	-0.182781281	0.036025308	-5.073691027	3.9e-07	6.61e-05
Pla2r1	2170.543496	-0.334842429	0.050394322	-6.644447569	3.04e-11	1.48e-08
Plbd2	277.6147298	-0.244746755	0.080645105	-3.034861871	0.002406459	0.059702035
Plekhm3	977.7754779	-0.137922968	0.043760179	-3.151791665	0.00162272	0.045440421
Polr2a	5491.728109	-0.202910042	0.066547111	-3.049118706	0.002295138	0.058064841
Pom121	1208.810086	-0.217352367	0.052375273	-4.149904258	3.33e-05	0.002646556
Ppl	73.40608545	-1.555614708	0.557314428	-2.791269397	0.005250175	0.095262111
Ppp2r2b	172.0357438	-0.499519892	0.098424677	-5.075148919	3.87e-07	6.61e-05
Ppp2r5e	1944.132118	-0.138065789	0.045578067	-3.029215569	0.002451897	0.059718914
Prkab1	1253.108081	-0.146238374	0.038276404	-3.820588104	0.000133134	0.007246964
Pros1	99.40517072	-0.569001443	0.136318168	-4.174069039	2.99e-05	0.002474604
Prox1	2828.66481	-0.161017745	0.039865249	-4.039050303	5.37e-05	0.003694093
Prpf19	914.5653135	-0.20504072	0.043748772	-4.686776579	2.78e-06	0.000340355
Prpf8	5184.368033	-0.161964284	0.040198881	-4.029074432	5.6e-05	0.003781208
Prr12	1894.402543	-0.188920581	0.055910105	-3.379006033	0.000727484	0.025391773
Psd	1331.708793	-0.219516519	0.055586591	-3.949091204	7.84e-05	0.004782666
Ptprg	662.8554406	-0.233945242	0.050460063	-4.636245524	3.55e-06	0.000415967
Ptprs	2952.244881	-0.116835165	0.034360709	-3.400254812	0.000673231	0.024348135
Rab30	270.7804593	-0.253423714	0.067511934	-3.753761719	0.0001742	0.008644394
Ranbp2	2913.404317	-0.168136412	0.042477752	-3.958222956	7.55e-05	0.004734031
Rasgrf2	1924.541444	-0.170851847	0.055750955	-3.064554603	0.002179944	0.05645102
Rbm19	140.9914403	-0.291044433	0.093255848	-3.120924209	0.001802844	0.049067718
Rbp3	51760.32564	-0.212683056	0.040421112	-5.261682513	1.43e-07	2.63e-05
Rcl1	102.7625231	-0.405099648	0.120658706	-3.3574009	0.000786789	0.026904668
Rgs20	157.5456498	-0.562029358	0.106046588	-5.299834428	1.16e-07	2.17e-05
Rhoc	170.6122129	-0.444265493	0.125063104	-3.552330624	0.000381835	0.015594799
Rnf123	2521.779851	-0.242672926	0.042734765	-5.678583342	1.36e-08	3.22e-06
Rptor	1132.34035	-0.154189835	0.046208625	-3.336819396	0.00084743	0.028793727
Rrp12	178.628471	-0.26836169	0.094689347	-2.834127592	0.004595098	0.088174644
Rrs1	213.0963583	-0.284729284	0.079833743	-3.566528041	0.000361742	0.015135007
Rs1	23267.38998	-0.289001984	0.049628981	-5.823250416	5.77e-09	1.58e-06
Sag	29757.11277	-0.658084748	0.056150022	-11.7201155	1.0100000000000001e-31	3.58e-28
Scaf1	1187.655242	-0.1313873	0.045679629	-2.876277715	0.004023955	0.081618966
Scg2	5370.266977	-0.109304595	0.039040469	-2.79977669	0.005113797	0.094556499
Scrt1	1118.73859	-0.139344966	0.048189363	-2.891612505	0.003832703	0.079238349
Scube2	62.34247891	-0.42795977	0.15402088	-2.778582806	0.00545966	0.09789766
Sdad1	176.5348314	-0.216690542	0.076593674	-2.829091896	0.004668029	0.088389535
Sema6c	114.3895637	-0.41784535	0.108949222	-3.835230234	0.000125447	0.006925227
Sesn2	139.4973099	-0.447996157	0.09547182	-4.692443866	2.7e-06	0.000337287
Sf3b3	872.6564943	-0.131382994	0.042236226	-3.110670803	0.001866629	0.050037853
Sfxn2	109.6930592	-0.316371891	0.108542824	-2.914719563	0.003560083	0.076101341
Sfxn5	623.8887126	-0.191540018	0.050413738	-3.799361556	0.000145069	0.007700222
Sgip1	4662.110946	-0.171849012	0.038233582	-4.49471387	6.97e-06	0.00074324
Sh2d5	235.690465	-0.297249846	0.07164503	-4.14892485	3.34e-05	0.002646556
Shank1	2784.461069	-0.152235783	0.051899554	-2.933277298	0.003354042	0.072909291
Sik1	179.1619839	-0.395831398	0.134657455	-2.939543129	0.003286965	0.071992956
Slc20a2	294.4347116	-0.304035925	0.072491213	-4.194107268	2.74e-05	0.002301382
Slc22a17	1212.127003	-0.145569358	0.049476426	-2.942196332	0.003258932	0.071791035
Slc30a5	449.7974126	-0.175760761	0.054054188	-3.251566011	0.001147711	0.035803891
Slc4a8	1673.588851	-0.161228932	0.05482588	-2.940744983	0.00327424	0.07187832
Slc6a11	2407.134268	-0.12036806	0.035076497	-3.431587269	0.00060006	0.022542396
Slc7a1	348.4809253	-0.406244335	0.080911828	-5.020827557	5.14e-07	8.22e-05
Slc7a5	543.9859008	-0.345271693	0.0677537	-5.095982836	3.47e-07	6.07e-05
Slc7a8	846.9301424	-0.350605778	0.120889962	-2.90020588	0.003729176	0.078139648
Slco5a1	147.7418152	-0.353997876	0.096055558	-3.685345052	0.000228393	0.010829889
Smad9	156.2812855	-0.282209243	0.090212896	-3.128258309	0.001758456	0.048105035
Smarcd1	563.8522583	-0.185238861	0.060590029	-3.057249927	0.002233779	0.057014815
Sort1	2084.040455	-0.135648529	0.043183053	-3.141244527	0.001682315	0.046863237
Spon2	30.5347469	-0.667244047	0.234461539	-2.845857152	0.004429206	0.086139704
Srm	193.874768	-0.267874942	0.081993105	-3.267042279	0.001086774	0.034405926
Ssbp4	844.3657769	-0.272415777	0.057974465	-4.698892506	2.62e-06	0.000336236
Ssr1	1771.486396	-0.116605995	0.039421603	-2.957921184	0.003097213	0.069130054
St8sia1	2144.648372	-0.141666656	0.04978998	-2.845284443	0.004437178	0.086139704
Stc1	105.7616391	-0.409809828	0.111897115	-3.662380652	0.000249882	0.011641891
Sv2a	2450.776957	-0.162675361	0.045335568	-3.588250223	0.000332905	0.014616298
Syncrip	598.545013	-0.22481274	0.050121807	-4.485327933	7.28e-06	0.000765868
Syt1	10447.45658	-0.132323889	0.032897018	-4.022367304	5.76e-05	0.003866078
Taf4b	147.7311598	-0.458992651	0.110917009	-4.138162884	3.5e-05	0.002676788
Tceal5	566.3984336	-0.172075829	0.054970759	-3.130315686	0.001746185	0.047892165
Tceb3	671.0203791	-0.141303065	0.043570107	-3.24311955	0.001182286	0.036351033
Tcerg1	1127.860339	-0.129020816	0.041475149	-3.110798121	0.001865824	0.050037853
Tcof1	371.664751	-0.236337173	0.064435845	-3.667790397	0.000244656	0.01144838
Tesk1	484.1144736	-0.244252547	0.066830619	-3.654800017	0.000257383	0.011836268
Tmem108	796.7233223	-0.196035378	0.057364667	-3.417354061	0.00063233	0.023343693
Tmem127	1090.451642	-0.141329686	0.037583812	-3.760387184	0.000169651	0.008578208
Tmem150c	1426.723964	-0.122306525	0.038414615	-3.18385396	0.001453283	0.041875234
Tmub1	87.49408381	-0.397684714	0.130544788	-3.04634693	0.002316404	0.058424854
Tnks	1177.630317	-0.170512902	0.049343649	-3.455620067	0.000549029	0.021070454
Tollip	893.1497755	-0.169823578	0.040034777	-4.241901437	2.22e-05	0.001970511
Tpm3	605.4266863	-0.280832552	0.08146333	-3.44734927	0.000566116	0.021571049
Trak2	2295.326598	-0.119287385	0.041313807	-2.887349151	0.003885028	0.079485259
Trpc1	736.2388468	-0.31697076	0.067570035	-4.690995958	2.72e-06	0.000337287
Tsg101	1028.381028	-0.130688254	0.047142461	-2.772198381	0.005567909	0.099171993
Tspyl4	3797.035275	-0.101835636	0.034361435	-2.96366075	0.003040032	0.068462509
Ttc28	1398.220181	-0.146504509	0.052637218	-2.783287453	0.005381111	0.097306899
Ttyh3	977.5745918	-0.149129582	0.051437819	-2.899220579	0.003740916	0.078139648
Tulp3	182.4679174	-0.230156427	0.081789859	-2.813997111	0.004892967	0.091423928
Tusc5	397.7102235	-0.205741205	0.064947442	-3.167810763	0.001535915	0.043814633
Ubb	5828.340482	-0.237722259	0.0504424	-4.712746836	2.44e-06	0.000321914
Ubc	2439.460937	-0.33894759	0.052823766	-6.416573739	1.39e-10	5.95e-08
Ubtd1	473.1063808	-0.356095273	0.080454864	-4.426025437	9.6e-06	0.000948209
Urb1	171.8309177	-0.247648717	0.086716879	-2.855830597	0.004292441	0.084807504
Usp47	2156.337112	-0.130337899	0.0335801	-3.881402945	0.000103856	0.006081463
Vac14	328.6650612	-0.195374631	0.063502562	-3.07664172	0.002093468	0.054877656
Vat1	239.9860095	-0.245268698	0.086755677	-2.827119866	0.004696874	0.08869195
Vgf	535.2821967	-0.853208492	0.096974415	-8.798284468	1.39e-18	1.85e-15
Vps37a	2029.096735	-0.119550345	0.040831088	-2.927924594	0.003412328	0.073617793
Vps52	364.6547755	-0.206950778	0.064042158	-3.231477264	0.001231521	0.037326988
Vtn	7666.299685	-0.246098956	0.035860209	-6.86273068	6.76e-12	4e-09
Wbscr16	64.76713515	-0.472784093	0.143712616	-3.289788364	0.001002628	0.032324925
Wdr46	104.1323032	-0.348037749	0.10359286	-3.359669271	0.000780358	0.026770555
Wdr6	1611.495566	-0.136777399	0.045879932	-2.981203178	0.002871182	0.066304424
Wdr89	78.62587335	-0.482924128	0.120396257	-4.011122442	6.04e-05	0.00400457
Wnk2	1162.786994	-0.182172365	0.048058874	-3.790608242	0.000150279	0.007833286
Ykt6	280.2585545	-0.210221145	0.069413034	-3.028554313	0.002457269	0.059718914
Zc3hc1	93.33352719	-0.29847857	0.107617011	-2.773525929	0.005545242	0.098992226
